companyName,streetNumber,streetName,city,state,zip,phoneNumber,mondayHours,tuesdayHours,wednesdayHours,thursdayHours,fridayHours,saturdayHours,sundayHours
Race Pace Bicycles,9930,Reisterstown Road,Owings Mills,MD,21117,4105819700,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,11am-5pm
Pikesville Bicycle Shop,1416,Reisterstown Road,Pikesville,MD,21208,4106022453,Closed,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm
Joe's Bike Shop,5813,Falls Rd,Baltimore,MD,21209,4103232788,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,11am-5pm
The Bicycle Connection,10435,York Rd,Cockeysville,MD,21030,4106671040,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-6pm,12pm-5pm
Princeton Sports,6239,Falls Rd,Baltimore,MD,21209,4108281127,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,12pm-5pm
S'Ville Bikes,20,Liberty Rd,Sykesville,MD,21784,4107957433,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-6pm,11am-4pm
Baltimore Bicycle Works,1813,Falls Rd,Baltimrore,MD,21201,4106050705,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-5pm
The Hub-C'Ville Bikes,825,Frederick Road,Catonsville,MD,21228,4107477433,10am-7pm,10am-7pm,10am-7pm,10am-7pm, 10am-7pm,10am-5pm,11am-3pm
Race Pace Bicycles,730,Dulaney Valley Rd,Towson,MD,21204,4438460900,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,11am-5pm
Baynesville Bicycle Services,1703,E. Joppa Road #8,Baltimore,MD,21234,4106684987,Closed,9:30am-6pm,9:30am-6pm,9:30am-6pm,9:30am-6pm,9:30am-4pm,Closed
Velocipede Bike Project,100,W. 22nd Street,Baltimore,MD,21218,4102245585,Closed,5pm-9pm,Closed,Closed,Closed,Closed,Closed
Twenty20 Cycling Company,320,W. 29th Street,Baltimore,MD,21211,4437595620,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,10am-6pm,11am-4pm
Whistle Stop Bike Shop,2,East Franklin Street,New Freedom,PA,17349,7172270737,Closed,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,Closed
Mt. Airy Bicycle Company,4540,Old National Pike,Mt. Airy,MD,21771,3018315151,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-5pm,Closed
Lutherville Bikes,2133,Greenspring Drive,Lutherville-Timonium,MD,21093,4105838734,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-5pm,Cloased
Patapsco Bicycles,5,North Main Street,Mt. Airy,MD,21771,3018295604,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,9am-5pm,11am-3pm
Bike Doctor Bel Air,2108,Emmorton Road,Bel Air,MD,21015,4105698833,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,10am-5pm,11am-5pm
The Bicycle Escape,7820,Wormans Mill Road,Frederick,MD,21701,3016630007,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,Closed
Crofton Bike Doctor,2616A,Chapel Lake Drive,Gambrills,MD,21054,4104516901,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,11am-5pm
All American Bicycle Center,26039,Ridge Rd,Damascus,MD,20872,3012535800,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-6pm,Closed
Takoma Bicycle,7030,Carroll Avenue,Takoma Park,MD,20912,3012700202,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-4pm,10am-4pm
Just Riding Along Bicycle Shop,6828,Olney Laytonsville Road,Laytonsville,MD,20882,3019631273,Closed,8am-5pm,8am-5pm,8am-5pm,8am-5pm,10am-4pm,Closed
Family Bike Shop,1286 MD-3,Crofton,MD,21114,4107218244,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-5pm,12pm-5pm
John's Bicycle Repair LLC,413,S Highland Ave,Baltimore,MD,21224,4439345760,12pm-8pm,12pm-8pm,12pm-8pm,12pm-8pm,12pm-8pm,10:30am-8pm,10:30am-5pm
Big Wheel Bikes,6917,Arlington Road,Bethesda,MD,20814,3016520192,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,10am-6pm,10am-6pm
