companyName,streetNumber,streetName,city,state,zip,phoneNumber,latitude,longitude,mondayHours,tuesdayHours,wednesdayHours,thursdayHours,fridayHours,saturdayHours,sundayHours
Race Pace Bicycles,9930,Reisterstown Road,Owings Mills,MD,21117,4105819700,39.4096779,-76.7689277,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,11am-5pm
Pikesville Bicycle Shop,1416,Reisterstown Road,Pikesville,MD,21208,4106022453,39.3766698,-76.7252423,Closed,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm
Joe's Bike Shop,5813,Falls Rd,Baltimore,MD,21209,4103232788,39.3672611,-76.6478742,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,11am-5pm
The Bicycle Connection,10435,York Rd,Cockeysville,MD,21030,4106671040,39.4747275,-76.6405978,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-6pm,12pm-5pm
Princeton Sports,6239,Falls Rd,Baltimore,MD,21209,4108281127,39.3837014,-76.6567028,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,12pm-5pm
S'Ville Bikes,20,Liberty Rd,Sykesville,MD,21784,4107957433,39.423415,-76.995705,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-6pm,11am-4pm
Baltimore Bicycle Works,1813,Falls Rd,Baltimore,MD,21201,4106050705,39.3104241,-76.6191894,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-5pm
The Hub-C'Ville Bikes,825,Frederick Road,Catonsville,MD,21228,4107477433,39.2708531,-76.7347569,10am-7pm,10am-7pm,10am-7pm,10am-7pm, 10am-7pm,10am-5pm,11am-3pm
Race Pace Bicycles,730,Dulaney Valley Rd,Towson,MD,21204,4438460900,39.4045466,76.6031756,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-6pm,11am-5pm
Baynesville Bicycle Services,1703,E. Joppa Road #8,Baltimore,MD,21234,4106684987,39.3968394,-76.5624147,Closed,9:30am-6pm,9:30am-6pm,9:30am-6pm,9:30am-6pm,9:30am-4pm,Closed
Velocipede Bike Project,100,W. 22nd Street,Baltimore,MD,21218,4102245585,39.3142851,-76.6186845,Closed,5pm-9pm,Closed,Closed,Closed,Closed,Closed
Twenty20 Cycling Company,320,W. 29th Street,Baltimore,MD,21211,4437595620,39.3223325,-76.6229079,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,10am-6pm,11am-4pm
Whistle Stop Bike Shop,2,East Franklin Street,New Freedom,PA,17349,7172270737,39.7391341,-76.7008439,Closed,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,Closed
